종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","5460","40","0.74","255649730700"
"006840","AK홀딩스","KOSPI","기타금융","21600","-400","-1.82","286147317600"
"027410","BGF","KOSPI","기타금융","5070","-20","-0.39","485284130370"
"282330","BGF리테일","KOSPI","유통업","163000","1000","0.62","2817276678000"
"138930","BNK금융지주","KOSPI","기타금융","7980","10","0.13","2600963263080"
"001460","BYC","KOSPI","섬유의복","459000","5500","1.21","286698285000"
"001465","BYC우","KOSPI","섬유의복","178000","0","0.00","38338530000"
"001040","CJ","KOSPI","기타금융","82700","-100","-0.12","2412937734600"
"079160","CJ CGV","KOSPI","서비스업","25600","-100","-0.39","1044688025600"
"00104K","CJ4우(전환)","KOSPI","기타금융","73700","300","0.41","311493934400"
"000120","CJ대한통운","KOSPI","운수창고업","124000","-1000","-0.80","2828730656000"
"011150","CJ씨푸드","KOSPI","음식료품","3700","10","0.27","132943860100"
"011155","CJ씨푸드1우","KOSPI","음식료품","37000","-100","-0.27","7400000000"
"001045","CJ우","KOSPI","기타금융","48850","100","0.21","110411893550"
"097950","CJ제일제당","KOSPI","음식료품","380500","-3500","-0.91","5728117773000"
"097955","CJ제일제당 우","KOSPI","음식료품","164000","2000","1.23","217699012000"
"000590","CS홀딩스","KOSPI","기타금융","69000","1300","1.92","79659258000"
"012030","DB","KOSPI","서비스업","865","1","0.12","174015452045"
"016610","DB금융투자","KOSPI","증권","6240","60","0.97","264865467360"
"005830","DB손해보험","KOSPI","보험","60300","500","0.84","4269240000000"
"000990","DB하이텍","KOSPI","전기전자","69500","2000","2.96","3085701866000"
"000995","DB하이텍1우","KOSPI","전기전자","96700","-200","-0.21","10860957200"
"139130","DGB금융지주","KOSPI","기타금융","9340","-10","-0.11","1579822080220"
"001530","DI동일","KOSPI","유통업","225000","1000","0.45","564897375000"
"000210","DL","KOSPI","기타금융","60400","300","0.50","1265735393600"
"001880","DL건설","KOSPI","건설업","27000","600","2.27","595438668000"
"000215","DL우","KOSPI","기타금융","36800","200","0.55","62049032000"
"375500","DL이앤씨","KOSPI","건설업","123500","1500","1.23","2390804143000"
"37550K","DL이앤씨우","KOSPI","건설업","66300","400","0.61","140150575500"
"004840","DRB동일","KOSPI","화학","5110","-110","-2.11","101842300000"
"155660","DSR","KOSPI","철강금속","5440","190","3.62","87040000000"
"069730","DSR제강","KOSPI","철강금속","4510","90","2.04","64944000000"
"017940","E1","KOSPI","유통업","46700","700","1.52","320362000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","6080","30","0.50","1295581120000"
"383220","F&F","KOSPI","섬유의복","836000","30000","3.72","6404942940000"
"007700","F&F홀딩스","KOSPI","기타금융","26800","800","3.08","1048265035600"
"114090","GKL","KOSPI","서비스업","15050","100","0.67","930927833500"
"078930","GS","KOSPI","기타금융","40350","200","0.50","3749135502300"
"006360","GS건설","KOSPI","건설업","41900","1250","3.08","3585864431000"
"001250","GS글로벌","KOSPI","유통업","2220","60","2.78","183224956080"
"007070","GS리테일","KOSPI","유통업","26550","300","1.14","2780260829100"
"078935","GS우","KOSPI","기타금융","34050","50","0.15","60773325300"
"012630","HDC","KOSPI","기타금융","7630","140","1.87","455829331230"
"039570","HDC랩스","KOSPI","건설업","10350","100","0.98","268661170350"
"089470","HDC현대EP","KOSPI","화학","4735","70","1.50","151046500000"
"294870","HDC현대산업개발","KOSPI","건설업","16150","300","1.89","1064403379500"
"097230","HJ중공업","KOSPI","건설업","7470","290","4.04","622058879070"
"011200","HMM","KOSPI","운수창고업","30750","0","0.00","15037964502000"
"082740","HSD엔진","KOSPI","기계","9390","930","10.99","438712499940"
"003560","IHQ","KOSPI","서비스업","1170","0","0.00","171095825160"
"175330","JB금융지주","KOSPI","기타금융","8230","20","0.24","1621169217620"
"234080","JW생명과학","KOSPI","의약품","14950","450","3.10","236726582300"
"001060","JW중외제약","KOSPI","의약품","23250","600","2.65","515640383250"
"001067","JW중외제약2우B","KOSPI","의약품","62400","1500","2.46","6422644800"
"001065","JW중외제약우","KOSPI","의약품","34300","50","0.15","6267810500"
"096760","JW홀딩스","KOSPI","기타금융","3690","25","0.68","259940965140"
"105560","KB금융","KOSPI","기타금융","62200","-400","-0.64","25863252624000"
"002380","KCC","KOSPI","화학","323000","10000","3.19","2870330133000"
"344820","KCC글라스","KOSPI","비금속광물","57800","1700","3.03","923095593600"
"009070","KCTC","KOSPI","운수창고업","5590","130","2.38","167700000000"
"009440","KC그린홀딩스","KOSPI","기타금융","4125","95","2.36","92544292500"
"119650","KC코트렐","KOSPI","기계","5520","140","2.60","97152000000"
"092220","KEC","KOSPI","전기전자","3025","35","1.17","437863126525"
"016380","KG동부제철","KOSPI","철강금속","10400","410","4.10","1040092528800"
"016385","KG동부제철우","KOSPI","철강금속","100000","100","0.10","5338500000"
"001390","KG케미칼","KOSPI","화학","27400","650","2.43","379931030400"
"033180","KH 필룩스","KOSPI","전기전자","2100","-10","-0.47","296717448300"
"001940","KISCO홀딩스","KOSPI","철강금속","16150","400","2.54","298393537000"
"025000","KPX케미칼","KOSPI","화학","53100","900","1.72","257004000000"
"092230","KPX홀딩스","KOSPI","화학","60200","-200","-0.33","254323689200"
"000040","KR모터스","KOSPI","운수장비","778","1","0.13","74794872304"
"044450","KSS해운","KOSPI","운수창고업","12200","0","0.00","282867736000"
"030200","KT","KOSPI","통신업","32050","0","0.00","8368633446400"
"033780","KT&G","KOSPI","기타제조업","80100","-600","-0.74","10997129009700"
"030210","KTB투자증권","KOSPI","증권","5080","70","1.40","306395587360"
"058850","KTcs","KOSPI","서비스업","2215","35","1.61","94547275000"
"058860","KTis","KOSPI","서비스업","2245","15","0.67","78130490000"
"093050","LF","KOSPI","섬유의복","17300","100","0.58","505852000000"
"003550","LG","KOSPI","기타금융","75800","-400","-0.52","11923415269400"
"034220","LG디스플레이","KOSPI","전기전자","19150","450","2.41","6852170655000"
"051900","LG생활건강","KOSPI","화학","975000","-32000","-3.18","15227742075000"
"051905","LG생활건강우","KOSPI","화학","558000","-29000","-4.94","1171630926000"
"373220","LG에너지솔루션","KOSPI","전기전자","442000","2000","0.45","103428000000000"
"003555","LG우","KOSPI","기타금융","61300","100","0.16","185225306000"
"032640","LG유플러스","KOSPI","통신업","13150","0","0.00","5741439397150"
"011070","LG이노텍","KOSPI","전기전자","335000","20000","6.35","7928480845000"
"066570","LG전자","KOSPI","전기전자","125500","4000","3.29","20537800657000"
"066575","LG전자우","KOSPI","전기전자","59900","1100","1.87","1029440920800"
"037560","LG헬로비전","KOSPI","서비스업","5020","-30","-0.59","388783262300"
"051910","LG화학","KOSPI","화학","589000","-1000","-0.17","41578890027000"
"051915","LG화학우","KOSPI","화학","288500","-2000","-0.69","2218218800000"
"079550","LIG넥스원","KOSPI","기계","60900","-300","-0.49","1339800000000"
"006260","LS","KOSPI","기타금융","48250","450","0.94","1553650000000"
"010120","LS ELECTRIC","KOSPI","전기전자","42200","1950","4.84","1266000000000"
"000680","LS네트웍스","KOSPI","유통업","3690","60","1.65","290783129040"
"229640","LS전선아시아","KOSPI","기타금융","7570","50","0.66","231830334030"
"001120","LX인터내셔널","KOSPI","유통업","27950","-200","-0.71","1083342000000"
"108670","LX하우시스","KOSPI","화학","53200","1500","2.90","477080044000"
"108675","LX하우시스우","KOSPI","화학","26200","200","0.77","27047046000"
"383800","LX홀딩스","KOSPI","기타금융","9840","-110","-1.11","750601989600"
"38380K","LX홀딩스1우","KOSPI","기타금융","13500","-200","-1.46","19781347500"
"023150","MH에탄올","KOSPI","음식료품","9420","30","0.32","69505714920"
"035420","NAVER","KOSPI","서비스업","309000","-4000","-1.28","50691167265000"
"181710","NHN","KOSPI","서비스업","34700","-100","-0.29","1301871650500"
"400760","NH올원리츠","KOSPI","서비스업","5220","10","0.19","220284000000"
"005940","NH투자증권","KOSPI","증권","11750","50","0.43","3490148172250"
"005945","NH투자증권우","KOSPI","증권","10800","0","0.00","203806454400"
"338100","NH프라임리츠","KOSPI","서비스업","4830","10","0.21","90127800000"
"034310","NICE","KOSPI","서비스업","16850","100","0.60","638316755000"
"008260","NI스틸","KOSPI","철강금속","4680","105","2.30","133848547560"
"004250","NPC","KOSPI","화학","8730","-30","-0.34","320565600000"
"004255","NPC우","KOSPI","화학","4370","-10","-0.23","23073600000"
"010060","OCI","KOSPI","화학","99000","4500","4.76","2361087729000"
"178920","PI첨단소재","KOSPI","화학","43050","650","1.53","1264220162100"
"005490","POSCO","KOSPI","철강금속","276500","-2000","-0.72","24107159877500"
"010950","S-Oil","KOSPI","화학","81400","100","0.12","9164239268800"
"010955","S-Oil우","KOSPI","화학","49700","-200","-0.40","199889771900"
"034120","SBS","KOSPI","서비스업","44000","-50","-0.11","803113608000"
"005090","SGC에너지","KOSPI","전기가스업","51000","800","1.59","748527204000"
"001380","SG글로벌","KOSPI","운수장비","1805","15","0.84","81160278115"
