,code,name,market,industry,close,contrast,change,market_cap,business
0,095570,AJ네트웍스,KOSPI,서비스업,5460,40,0.74,255649730700,"2000년 설립된 동사는 파렛트, OA기기, 건설장비 장단기 대여·판매업을 주요 사업으로 영위하고 있음.
식품사업부는 기존 사업부를 정리하고 신규 사업으로 2019년 12월 치킨 프랜차이즈 브랜드 호치킨을 운영 중인 다울에프앤비와 서우푸드를 인수함으로써 치킨 프랜차이즈 사업에 진출함.
IT 기술 발달과 더불어 OA 렌탈 대상의 범위가 모바일로 확산되며 태블릿, 올인원 PC와 같은 융복합 모바일 디바이스 장비도 동반 성장 중임.
"
1,006840,AK홀딩스,KOSPI,기타금융,21600,-400,-1.82,286147317600,"2012년 9월 인적분할을 통해 제조사업부문을 신설회사 애경유화에 승계하고 지주회사로 전환하면서 AK홀딩스로 상호를 변경함.
지주회사로 주요 매출은 배당금 수익, 상표권 수익, 경영자문수수료 수익으로 구성되어 있음.
종속회사가 영위하는 주요사업부문은 화학부문(애경유화,에이케이켐텍 등), 생활용품화장품부문(애경산업 등), 항공운송부문(제주항공, 모두락), 백화점부문(AK Plaza) 등이 있음.
"
2,027410,BGF,KOSPI,기타금융,5070,-20,-0.39,485284130370,"동사는 1990년 편의점 사업을 시작하였으며, 편의점 체인화 사업을 목적으로 1994년 (주)보광 CVS 사업부에서 별도법인 (주)보광훼미리마트를 설립함.
BGF그룹에 속한 계열회사로서 현재 15개의 계열회사가 있음. 이 중 상장회사는 당사를 포함하여 총 2개사이며, 비상장회사는 13개사임.
주요 수익은 브랜드 사용수익, 업무용역제공을 통한 경영지원용역수익, 종속회사 등으로부터 수취하는 배당금 수익 및 임대수익임.
"
3,282330,BGF리테일,KOSPI,유통업,163000,1000,0.62,2817276678000,"2017년 인적분할하여 설립된 신설법인으로 2017년 12월 유가증권시장에 재상장되어 거래가 개시됨.
동사는 편의점 체인화 사업을 영위하고 있으며, 당사의 종속회사는 물류사업, 식품제조 및 유통 등 당사의 업무를 보조하는 업무를 수행하고 있음.
브랜드 독립에 맞춰 차별화된 한국형 편의점 모델을 개발하였으며, 가맹점의 수익성과 운영 편리성을 향상시킴으로써 점포 개발 경쟁력 또한 갖추고 있음.
"
4,138930,BNK금융지주,KOSPI,기타금융,7980,10,0.13,2600963263080,"동사는 2011년 부산은행, BNK투자증권, BNK신용정보, BNK캐피탈이 공동으로 주식의 포괄적 이전 방식에 의해 설립한 지방은행 최초의 금융지주회사임.
2015년 경남은행의 계열사 편입으로 부산/경남은행 두 은행 체제가 되었음.
2015년에 GS자산운용(BNK자산운용 사명 변경)을 자회사로 편입하여 은행, 증권, 자산운용, 여신전문, 저축은행업 등을 포괄하는 종합금융그룹이 되었음. 2019년 11월 BNK벤처투자 자회사 편입.
"
5,001460,BYC,KOSPI,섬유의복,459000,5500,1.21,286698285000,"메리야스류 제품을 제조, 매입해 판매하는 것이 주요 사업임. 건축도급공사와 자체분양공사로 건설업을 영위하고 보유 부동산을 통해 임대사업도 하지만 의류 제조업이 주요 사업임.
섬유 부문이 전체 매출에서 차지하는 비율은 약 73.40%임.
전자상거래 서비스를 통한 비대면 소비가 주류로 자리 잡고있는 만큼 동사는 온라인 유통망 강화, 온라인 전용제품 개발, 전국 판매유통망 구축, 새로운 제품 개발 등을 적극 추진하고 있음.
"
6,001465,BYC우,KOSPI,섬유의복,178000,0,0.0,38338530000,
7,001040,CJ,KOSPI,기타금융,82700,-100,-0.12,2412937734600,"1953년에 설립되었으며, 2007년 9월 투자사업부문과 제조사업부문을 인적분할하여 지주회사로 전환함.
2021년 09월말 현재 CJ제일제당, CJ이엔엠 등 8개 자회사의 지분을 보유하고 있으며, 계열사(국내 기준)는 총 77개사임.
생활문화그룹 CJ는 지주회사인 동사를 비롯하여 식품&식품서비스, 생명공학, 물류&신유통, 엔터테인먼트&미디어 등 4대 주력 사업군으로 이루어지며, 시너지&인프라 분야가 업무역량을 뒷받침하고 있음.
"
8,079160,CJ CGV,KOSPI,서비스업,25600,-100,-0.39,1044688025600,"1999년 3월에 CJ엔터테인먼트와 호주의 Village Cinema International PTY LTD 2개사의 합작법인인 CJ Village(주)로 설립.
고품질의 멀티플렉스 극장을 국내에 최초로 보급, 단일관 위주 상영문화를 종합엔터테인먼트 플랫폼으로 선진화.
영화 상영업계에서 시장점유율 1위의 타이틀을 유지하고 있으며 ScreenX, 4DX 및 골드클래스, 씨네드쉐프, 템퍼시네마 등 프리미엄 상영관을 운영하고 있음.
"
9,00104K,CJ4우(전환),KOSPI,기타금융,73700,300,0.41,311493934400,
10,000120,CJ대한통운,KOSPI,운수창고업,124000,-1000,-0.8,2828730656000,"1930년 11월에 설립되어 CL사업부문, 택배사업부문, 글로벌사업부문, 건설사업부문을 주된 사업부문으로 영위함.
최근 급성장하고 있는 이커머스 시장에 대응하기 위해 독자적인 융합형 'CJ대한통운 e-풀필먼트' 서비스를 개시함.
매출구성은 글로벌사업부문 39.85%, 택배사업부문 31.47%, CL사업부문 24.22%, 건설사업부문 4.46%로 이루어져 있음.
"
11,011150,CJ씨푸드,KOSPI,음식료품,3700,10,0.27,132943860100,"동사는 1976년 삼호물산 주식회사로 설립되어, 1985년 삼호어묵을 출시하면서 내수식품사업을 시작. 주요 사업 내용은 어묵, 맛살, 햄, 김 등을 생산 판매하는 식품사업임.
식품제조 및 판매업은 국민소득의 증대 및 경기변동에 둔감한 산업의 특성에 따라 안정적 성장세를 보여 옴.
동사는 제품차별화 및 끊임없는 신제품 개발과 소비자 지향적인 마케팅 전략을 펼치며 영업을 이어나가고 있음.
"
12,011155,CJ씨푸드1우,KOSPI,음식료품,37000,-100,-0.27,7400000000,
13,001045,CJ우,KOSPI,기타금융,48850,100,0.21,110411893550,
14,097950,CJ제일제당,KOSPI,음식료품,380500,-3500,-0.91,5728117773000,"2007년 9월 CJ에서 기업 분할되어 식품과 생명공학에 집중하는 사업회사로 출발한 국내 1위 식품회사의 위치를 공고히하고 있음.
고급화 되어가는 소비자 트렌드에 맞춰 프리미엄화 전략을 적극 추진하여 뛰어난 맛과 품질, 강력한 브랜드 파워를 갖추기 위해 노력 중임.
육상 및 해상 등 여러 분야에서 전국 네트워크 구축을 통해 운송의 합리화를 추진하여 물류 품질의 질적 향상과 서비스 극대화에 중점을 두고 있음.
"
15,097955,CJ제일제당 우,KOSPI,음식료품,164000,2000,1.23,217699012000,
